iter	Passed	Remaining
0	250	250736
1	424	211817
2	621	206400
3	805	200489
4	972	193481
5	1153	191103
6	1327	188357
7	1500	186040
8	1679	184880
9	1857	183877
10	2043	183703
11	2214	182320
12	2379	180680
13	2548	179515
14	2720	178634
15	2889	177695
16	3081	178204
17	3252	177442
18	3425	176859
19	3591	175968
20	3767	175630
21	3948	175513
22	4143	175998
23	4311	175342
24	4463	174058
25	4621	173123
26	4772	171972
27	4936	171377
28	5134	171906
29	5292	171118
30	5466	170863
31	5647	170850
32	5818	170510
33	5964	169454
34	6145	169427
35	6293	168514
36	6463	168231
37	6629	167824
38	6774	166927
39	6934	166428
40	7098	166039
41	7240	165156
42	7385	164377
43	7531	163636
44	7713	163699
45	7888	163591
46	8046	163154
47	8220	163039
48	8396	162956
49	8561	162669
50	8730	162452
51	8875	161801
52	9040	161533
53	9216	161463
54	9376	161098
55	9539	160811
56	9679	160143
57	9831	159676
58	9974	159079
59	10149	159009
60	10317	158826
61	10486	158644
62	10643	158306
63	10783	157712
64	10950	157519
65	11118	157345
66	11285	157159
67	11428	156636
68	11610	156660
69	11763	156282
70	11933	156144
71	12087	155796
72	12247	155528
73	12383	154965
74	12559	154903
75	12725	154709
76	12906	154705
77	13067	154463
78	13231	154252
79	13384	153922
80	13554	153786
81	13702	153398
82	13850	153020
83	14034	153041
84	14200	152869
85	14351	152522
86	14541	152603
87	14707	152424
88	14871	152219
89	15048	152159
90	15220	152038
91	15383	151830
92	15555	151707
93	15731	151627
94	15857	151061
95	16018	150838
96	16174	150569
97	16353	150520
98	16520	150350
99	16680	150124
100	16840	149898
101	16971	149416
102	17122	149118
103	17283	148899
104	17446	148712
105	17592	148372
106	17748	148123
107	17883	147702
108	18023	147330
109	18173	147039
110	18290	146485
111	18415	146010
112	18553	145636
113	18696	145304
114	18841	145000
115	18999	144792
116	19150	144526
117	19281	144121
118	19429	143843
119	19590	143661
120	19710	143187
121	19833	142736
122	19949	142238
123	20112	142085
124	20269	141888
125	20402	141522
126	20549	141255
127	20684	140914
128	20838	140699
129	20998	140525
130	21139	140229
131	21288	139988
132	21430	139703
133	21606	139634
134	21740	139303
135	21882	139019
136	22047	138880
137	22240	138919
138	22426	138912
139	22567	138627
140	22737	138520
141	22920	138492
142	23073	138280
143	23254	138236
144	23425	138130
145	23594	138014
146	23776	137970
147	23919	137698
148	24059	137412
149	24172	136978
150	24298	136616
151	24467	136503
152	24582	136085
153	24694	135659
154	24872	135592
155	25023	135382
156	25205	135337
157	25358	135139
158	25530	135039
159	25694	134894
160	25819	134548
161	25952	134248
162	26122	134140
163	26274	133934
164	26445	133829
165	26552	133399
166	26689	133126
167	26845	132951
168	26979	132660
169	27204	132820
170	27396	132815
171	27567	132709
172	27711	132468
173	27887	132385
174	28038	132180
175	28178	131925
176	28327	131713
177	28501	131620
178	28646	131387
179	28786	131138
180	28955	131020
